Source,Target,Weight,Type
e5433d9ee90e89d360d260ca03d06e9a02f34189,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
e9e43e1373ed953d17a2a621b7bfa69d1ece865f,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
a632ae42af3826b0e7906d7750c7014f854dc3ff,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
1dc6abdddb0de83b0dcc33a050417438296b1b2e,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
8451224099497aa958275996864741fb0f9c2f02,8fed2a5351841bc560f12075ff00405d5451a22e,8,Undirected
012c1f4893633524a35d1019a22183e58c48068d,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
4937cb8c0e02aefce17eb42376b06a613fbacb4d,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
defae4e26d645b778d938250b88c81a9ca0d6963,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
f9ef6e827dac7d67f8b22d062d5ab70e649b1407,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
b97bb9ca8dfbb7e24ff632dcd229871807b5474c,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
4d1c8d6c69e44f8f3790b95ee0ef7ca437d911b1,8fed2a5351841bc560f12075ff00405d5451a22e,2,Undirected
60f82b7911038739d0509779643f87c450d100cc,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
8fcb183d0eac964bfd657bbdb21fe21d7c5fbb8f,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
310a5cabc9cd12391c6bc4788196d6f83a2b44c9,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
3670da2c235fbe80522151f363977a1df05472f9,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
49540ab350d04ad2628a4a6d65344a8f8413d20d,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
33074681f1c9c1c9babd42432f5b71cb868656b1,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
96129b98ec4809a770ce40a0c59acca018cc9b8c,6b4a9677050aac64f162615f9544e3bc8a62c86a,2,Undirected
cf4c0564e2361a39919e07ed3a3c8f4202c5f960,a632ae42af3826b0e7906d7750c7014f854dc3ff,2,Undirected
a632ae42af3826b0e7906d7750c7014f854dc3ff,a632ae42af3826b0e7906d7750c7014f854dc3ff,6,Undirected
c41aa2df29a5a0b8072cfb380b6ade5688d48da5,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
c8f9b983dac1831328b7453f2b5808ab932543c3,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
39705cb261d3f6fea241fbbe93531eff13ea1f2b,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e706555291e3d737024bad19035a19a7e0ffefbe,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
3335e881a74ab406131dd3f170fa3ce2cb20e715,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
a5a4c9dc140f423356a2dbed376b4b5d6b944def,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d2b7a66d502b6246bc5afdef44786c7faf576213,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
8bf11d1ff8e3ff9604c80f1cdda670893db0d84e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
9d25d881f3d61bba6dc4e22a9b2f21735fa98856,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
33074681f1c9c1c9babd42432f5b71cb868656b1,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
3c67c4beedc11df2d773550a4a9a2e7faecbf6c5,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
b382c40c911c6b7caca2c2c1b43ff8ea352a2ad4,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
b968827d57c3d804692c7489b6278ec971d1c74f,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
6edcf9f803742b1cb07c2adbc47e2678f4e48640,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
69d6e07e9bb7fce1297f02fc7c0442784f3619e0,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
86ad90c43c1c3aa303f87e3c273ad58841ba4f90,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
731bd6268ce7643d182e817f66462e242ab72e20,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
f17cd7a5f2c7c7e05cbb65463d9328f2f7f64b21,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
aec42760fe03bb9612452e268d4deb49942008ae,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
b286cf1f68e53f3865d37b3507b0f96ba55c64d6,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
421f991332e906446fec9c3562053a0a71e9c87b,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
0d4f21e40dee4acba6c0a20098c736762552f0b3,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d70a79272e099bc9878016be7e84681d20c841f1,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d9aef7d918d4ec8901c95ddc4096e098bf159cb1,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
da844daf6ac6e17ebe601e4596aae2693b59bf54,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
c0c5f491ffcf9c1409aedcbdae4c864d4325ab6f,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
b7196c9c50e1d679a2547b8879c4c35399ebcdc4,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
cb85e936e532bf5ce169662178a97ea0c4cab1d6,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
ff78693d932644c151239c4d4665f80fd1a78cf8,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
465d7b15f094e91bf369dad56af645c50e754309,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
cfe7092c1125f2678adaa652f7c4d73ec7fd4e67,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
f8af7935c9e42f6eb65600da50f5e2744a079e54,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
8274ea1e2446c70406ca6dec79c7cf2b6fe12043,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e8ea0d516370e6d8717542379ccada55cd3094be,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
9ac9cfa7d57d7426cf00faf441df2419c86b5ed6,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
fb62e5b0e3d6f8163796ecffecc451acd3dee030,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
63381d8111a70d43ff1e6adbe1dce247c2a865dd,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
b86dcb8a3f122a8f2115fc2f7099d8cdce51e434,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
a258b2d82ff4c1e70685be4da08be63a642f3139,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
f86d877e57ad9ef766952c50137112ab8491fb54,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
5007f68397e9bc64091b9ed8fb026dabcbcb6102,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
f680e2889562ee6d5304e2132b3b7e9a539b9f03,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
0fa762d13947bc312ae0f623bef74d69491a4301,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
8f26bbc344d3ee7d228c181beabc20fc77ebaf5e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
001d5da3b833e3ad2ee0c38e84ee2f93ebef9462,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e4fc2ce544dfb7bba62d07a3bb40471479bee705,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
383990076a0d650b7a5a1eca675d06c7ac2cb03f,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d8bf612b8c816ccb51c42913bc9e65d73bca8f3c,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d2e9361c9e16252c6ab9cfd33a448edb0eeb6f72,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
3648facb9d1a1fd0f6eb929c1da956f41c0e8b39,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d66ef972008391ccad90e32a4c133d2da5e3daf7,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
c7d031e617efb4afb98db8c1b0ce05bf451e9193,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
c773c01a02458f4455dccc285b548bcc3adce6ea,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e5c83b6290af6154bcb51e6d81a69eefa7a63218,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
2b2adfdbfb022b38c96ecd68bfcd843640863b7b,141768253afea4c9da88c5801723c8518f1aefae,2,Undirected
d045615312a31944f5fdae29cf4416c24cb58221,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
3fc71746df174e1d9f1594cb2ce4f4a18568e93c,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e2c379041c5be2a297c235e51fedf56f5834846e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
9d40a46f3b12fba19273b25e47600f83f9c0ecfb,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
72e6e699352adeee42d8ce0f1ed88032f32f3b5d,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
13e61b6f2981f6447c03314712edaff4a4026f3f,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
638d9f89e8d578a61cbf8e3f2a1f6d403c60589b,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
992dba42764120b91b89e47f9c9c38d4934974de,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
28f214870c67b2d00223c6149538ac382d0926f9,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
62a677f2adfe8f01b456bd135f78d53007bc0b05,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
cbe76875e10f8ae6c4156159c6df53ad0dc92c49,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
514ca7c7b6b0a30b901b804145fab16941e01082,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
56fb8504d43f8393690d2bb8daa04051550e2548,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e130881025c94bffc336fa543fe73f2f7b6ff5fe,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
508e20c53979db954d014ea3c4ed6125587eeea9,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
92edb583f9ce89850d55e84c6b26394b1af60789,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
32039ce2b00a5365dfc39a0524911e75421147e4,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
70c17ddc72cabc9423a2182945e94596aacce4f2,141768253afea4c9da88c5801723c8518f1aefae,2,Undirected
05f9f2c914acaa81601004ae51eb4c6240ecbafb,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
9e252d4527c5b77abeb395dc06f847cf6dd9e234,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
ddd4ec1282224f7cc07025ffc468f23926b89324,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d64690691b5a080be3a393db29274f60fc96f218,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
6b4a9677050aac64f162615f9544e3bc8a62c86a,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
9c02caffbcd7c99bbbc4f0b0242f64832ca3633e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
e7bb33e085772d5fd58cf41c442a38dc50ae7406,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
c28e7af9ddcd6274f7d6e3492eeb54da03925af6,141768253afea4c9da88c5801723c8518f1aefae,2,Undirected
dcd15e9a50232526a93cdf2570a65206f91ce34f,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
018f476ac33ae2d1b3a40856e347bcb77e37570e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
80c14041fe3ec454cb74c29fa869d6ab93c0b5ea,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
1c1e28f1878ade9bb882280cf0a13ea2260becac,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
d3b4ccf19b093016f911161996f90aa9fe9d4e0e,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
2a9cc2e09d6d65cec523a2f7d7c0ff1063d7ed3a,141768253afea4c9da88c5801723c8518f1aefae,1,Undirected
